applicant_id,age,gender,marital_status,city_tier,state,employment_type,bank_account_vintage_years,monthly_income_inr,existing_loans_count,existing_emi_monthly_inr,credit_utilization_ratio_pct,num_credit_inquiries_last_6m,late_payments_last_12m,loan_amount_requested_inr,loan_tenure_months,loan_purpose,collateral_provided,cibil_score,interest_rate_offered_pct,default_risk_score,default_flag
APP108614,36,Female,Married,Tier 2,Telangana,Business Owner,1.1,26400,0,10500.0,16.6,0.0,0,28000,60,Debt Consolidation,No,630,20.35,1.27,0
APP106649,21,Female,Married,Tier 3,Karnataka,Salaried - PSU,1.0,33700,1,4600.0,77.3,0.0,4,188000,24,Debt Consolidation,No,520,19.18,18.99,0
APP102227,40,Female,Single,Tier 3,Karnataka,Salaried - Government,1.6,13700,3,4300.0,51.0,1.0,1,45000,48,Medical Emergency,No,624,25.23,1.35,0
APP112060,40,Male,Married,Tier 3,Kerala,Salaried - PSU,0.5,66500,2,2600.0,66.4,2.0,2,189000,36,Debt Consolidation,Yes,573,22.73,0.27,0
APP119122,54,Female,Married,Tier 1,Gujarat,Salaried - Private,9.1,86000,1,17800.0,45.3,2.0,5,133000,60,Home Renovation,No,575,24.88,8.08,0
APP109622,35,Male,Married,Tier 2,Karnataka,Salaried - Private,,92900,0,16900.0,38.7,1.0,1,375000,48,Medical Emergency,No,619,24.71,1.46,0
APP112279,52,Female,Single,Tier 3,Kerala,Salaried - Private,14.3,25300,3,4600.0,26.1,2.0,0,121000,24,Debt Consolidation,No,783,11.93,0.06,0
APP116447,41,Male,Married,Tier 2,Andhra Pradesh,Salaried - Government,0.5,50000,1,14200.0,37.2,1.0,2,509000,60,Personal Expense,No,613,25.12,1.37,0
APP100423,22,Male,Married,Tier 2,Telangana,Salaried - PSU,9.4,46300,2,12200.0,9.5,0.0,1,153000,36,Personal Expense,No,674,18.65,0.4,0
APP114337,45,Male,Single,Tier 2,Delhi NCR,Salaried - Private,6.6,65300,1,17900.0,21.7,3.0,1,241000,12,Personal Expense,Yes,657,16.13,0.31,0
APP122163,34,Male,Married,Tier 3,West Bengal,Salaried - Government,0.6,54700,0,17200.0,39.8,0.0,0,132000,84,Vehicle Purchase,No,577,23.09,2.5,0
APP119839,40,Female,Married,Tier 2,Gujarat,Salaried - Government,0.5,29500,1,8500.0,22.7,1.0,2,143000,48,Wedding,No,605,25.44,4.23,0
APP112456,25,Other,Single,Tier 1,Madhya Pradesh,Salaried - Private,0.5,46800,1,5300.0,72.0,0.0,3,122000,60,Debt Consolidation,No,540,21.17,1.67,0
APP110277,28,Female,Single,Tier 1,Gujarat,Salaried - Government,8.3,22200,2,8000.0,28.1,1.0,0,51000,12,Education,Yes,647,21.61,0.41,0
APP123085,43,Female,Married,Tier 1,West Bengal,Self-Employed Professional,1.7,80800,1,30600.0,39.1,2.0,1,216000,60,Wedding,No,557,20.02,24.18,0
APP101805,21,Female,Single,Tier 2,Maharashtra,Salaried - Government,3.5,62700,1,2700.0,46.0,1.0,1,181000,84,Vehicle Purchase,No,656,16.55,0.21,0
APP102790,48,Female,Married,Tier 3,Rajasthan,Salaried - PSU,,45100,0,6800.0,55.1,0.0,4,100000,12,Medical Emergency,No,607,20.94,6.25,0
APP124427,36,Male,Single,Tier 3,Andhra Pradesh,Salaried - Government,0.5,22800,1,1100.0,48.5,2.0,1,134000,12,Medical Emergency,No,679,17.36,0.21,0
APP117716,37,Male,Married,Tier 1,Kerala,Salaried - Private,3.8,72900,0,14800.0,35.6,0.0,2,156000,12,Vehicle Purchase,No,646,24.53,2.9,0
APP104972,44,Male,Married,Tier 1,Andhra Pradesh,Self-Employed Professional,4.2,178600,0,,30.7,1.0,2,160000,36,Wedding,No,659,16.46,1.61,0
APP107613,30,Female,Married,Tier 3,Haryana,Salaried - Private,0.5,55400,1,,48.5,1.0,2,46000,48,Medical Emergency,No,623,22.56,2.57,0
APP117238,30,Female,Single,Tier 2,Haryana,Self-Employed Professional,0.9,48300,0,2600.0,26.5,0.0,1,75000,36,Education,No,702,12.93,0.09,0
APP113570,37,Male,Married,Tier 2,Haryana,Self-Employed Professional,4.4,31200,1,9000.0,32.9,1.0,1,254000,24,Debt Consolidation,No,662,16.95,2.83,0
APP107946,40,Male,Single,Tier 2,Maharashtra,Salaried - Government,10.0,45100,1,10100.0,12.5,1.0,2,102000,60,Education,No,701,12.82,1.18,0
APP105100,27,Male,Single,Tier 2,Tamil Nadu,Business Owner,5.4,33300,1,1900.0,85.7,1.0,3,69000,36,Medical Emergency,No,543,25.36,2.61,0
APP123948,35,Male,Married,Tier 2,West Bengal,Business Owner,0.6,66100,3,15300.0,43.4,1.0,0,68000,48,Wedding,No,654,16.06,2.16,0
APP121182,41,Male,Married,Tier 1,Andhra Pradesh,Salaried - Government,5.3,33000,1,6600.0,64.7,0.0,3,157000,36,Debt Consolidation,No,572,24.21,22.32,0
APP100733,33,Female,Married,Tier 2,West Bengal,Salaried - Private,1.6,24100,1,2100.0,56.2,1.0,0,184000,12,Business Expansion,No,711,15.83,0.19,0
APP118404,33,Male,Married,Tier 2,Kerala,Salaried - Private,10.8,19800,2,4900.0,68.2,1.0,2,167000,12,Vehicle Purchase,Yes,576,25.71,3.27,0
APP103848,43,Male,Married,Tier 3,Karnataka,Salaried - Private,1.2,46200,0,15200.0,52.7,3.0,2,332000,24,Wedding,No,538,25.48,24.76,0
APP122714,38,Other,Married,Tier 3,Tamil Nadu,Salaried - Government,0.5,24300,1,7800.0,35.4,1.0,3,33000,12,Home Renovation,Yes,539,24.56,9.21,0
APP109888,26,Male,Single,Tier 1,Uttar Pradesh,Salaried - Private,10.9,53500,0,18900.0,60.6,4.0,0,160000,36,Wedding,Yes,547,19.86,6.11,0
APP104405,46,Male,Married,Tier 3,Rajasthan,Salaried - Private,0.8,54900,1,17900.0,33.2,2.0,1,171000,36,Home Renovation,No,560,24.23,7.36,0
APP122683,26,Female,Married,Tier 2,Kerala,Salaried - PSU,0.5,25100,3,6700.0,68.6,1.0,2,219000,48,Home Renovation,No,520,25.12,37.54,0
APP103352,42,Male,Single,Tier 1,Telangana,Salaried - Private,10.8,159800,3,26600.0,34.8,1.0,2,129000,24,Education,No,700,15.83,0.6,0
APP115191,35,Female,Single,Tier 1,Karnataka,Salaried - Private,2.0,31700,0,5700.0,47.8,2.0,2,52000,84,Personal Expense,No,617,22.34,1.06,0
APP115694,36,Male,Married,Tier 1,Maharashtra,Salaried - Private,4.0,33500,0,1200.0,2.1,1.0,1,107000,72,Vehicle Purchase,No,687,19.02,0.1,0
APP119946,21,Male,Married,Tier 1,Kerala,Business Owner,0.8,25700,1,6200.0,45.3,2.0,2,258000,48,Medical Emergency,No,531,19.88,38.93,0
APP114354,25,Male,Married,Tier 1,Uttar Pradesh,Salaried - Private,7.3,64400,0,11800.0,32.8,1.0,1,72000,60,Debt Consolidation,No,685,18.32,0.43,0
APP121742,23,Male,Single,Tier 2,Bihar,Salaried - Government,0.5,17200,1,5100.0,23.1,3.0,0,100000,72,Debt Consolidation,No,640,19.86,1.97,0
APP118353,34,Male,Divorced,Tier 1,Haryana,Salaried - Private,3.0,47800,1,2500.0,62.5,5.0,2,310000,24,Business Expansion,Yes,562,21.38,1.36,0
APP117580,38,Male,Single,Tier 2,Maharashtra,Salaried - Private,12.3,59300,3,9100.0,50.4,1.0,2,51000,60,Education,No,616,25.95,0.91,0
APP122488,37,Male,Single,Tier 2,Rajasthan,Salaried - Private,5.7,15700,1,4300.0,25.1,0.0,0,106000,12,Education,No,657,16.47,1.2,0
APP114092,31,Female,Married,Tier 1,Punjab,Salaried - Private,1.0,30100,1,4700.0,46.2,2.0,4,34000,36,Vehicle Purchase,No,568,21.43,13.52,0
APP120523,38,Male,Married,Tier 3,Delhi NCR,Salaried - Private,0.5,23900,1,6900.0,25.5,2.0,0,107000,60,Debt Consolidation,No,578,19.45,2.63,0
APP103492,32,Male,Married,Tier 2,Delhi NCR,Salaried - Private,0.9,44800,0,5100.0,39.3,5.0,0,232000,60,Business Expansion,No,660,19.69,0.29,0
APP119349,43,Male,Married,Tier 1,Uttar Pradesh,Salaried - PSU,4.5,20600,1,5300.0,37.1,1.0,0,321000,60,Personal Expense,No,617,23.72,4.76,0
APP115657,24,Male,Married,Tier 3,Uttar Pradesh,Salaried - PSU,0.5,16300,1,2200.0,49.5,0.0,2,148000,48,Personal Expense,No,612,25.82,4.26,0
APP103589,30,Male,Married,Tier 2,Haryana,Salaried - Private,1.3,53500,2,12700.0,32.5,2.0,2,125000,48,Vehicle Purchase,No,601,25.54,7.5,1
APP108124,47,Male,Married,Tier 3,Kerala,Self-Employed Professional,5.0,31400,0,5300.0,6.7,1.0,2,110000,36,Debt Consolidation,Yes,668,15.56,0.08,0
APP118665,37,Female,Married,Tier 3,Tamil Nadu,Business Owner,5.1,53300,1,8000.0,11.5,0.0,0,82000,36,Home Renovation,No,734,15.27,0.12,0
APP112042,38,Male,Married,Tier 3,Maharashtra,Self-Employed Professional,14.6,36600,2,4800.0,32.2,0.0,0,290000,72,Vehicle Purchase,No,754,15.05,0.11,0
APP108504,25,Male,Widowed,Tier 2,West Bengal,Salaried - PSU,1.7,25700,1,7900.0,25.4,1.0,0,122000,36,Wedding,No,652,15.27,1.76,0
APP118724,33,Male,Single,Tier 1,Bihar,Self-Employed Professional,8.7,129900,4,47900.0,77.2,2.0,2,112000,36,Personal Expense,No,532,19.05,15.52,0
APP106253,30,Male,Married,Tier 1,Kerala,Salaried - Private,0.5,69400,1,21800.0,46.0,3.0,2,118000,24,Wedding,No,522,23.5,19.19,1
APP117244,40,Female,Single,Tier 3,Haryana,Salaried - Private,1.0,26900,0,2400.0,26.6,3.0,0,67000,60,Vehicle Purchase,No,645,21.91,0.09,0
APP112331,38,Male,Married,Tier 2,Telangana,Salaried - Government,8.8,18200,0,4000.0,14.7,1.0,2,145000,12,Personal Expense,No,633,21.24,0.88,0
APP120198,44,Male,Married,Tier 2,Bihar,Salaried - Private,3.6,19400,1,6100.0,10.1,2.0,2,88000,48,Education,No,567,22.63,25.94,1
APP100866,23,Male,Married,Tier 2,Rajasthan,Self-Employed Professional,1.2,71000,1,10400.0,27.2,0.0,0,155000,12,Personal Expense,No,663,18.08,0.16,0
APP111506,52,Male,Married,Tier 1,Tamil Nadu,Business Owner,1.2,111300,2,33200.0,64.9,2.0,0,131000,36,Personal Expense,Yes,570,20.79,1.07,0
APP112890,36,Male,Married,Tier 1,Madhya Pradesh,Salaried - Private,2.2,48000,0,8000.0,45.9,0.0,1,138000,36,Wedding,No,628,22.18,0.59,0
APP115978,32,Female,Married,Tier 2,West Bengal,Salaried - Private,1.6,38000,1,9900.0,5.0,1.0,0,76000,84,Home Renovation,Yes,659,19.07,0.25,0
APP112758,41,Female,Single,Tier 3,Telangana,Salaried - PSU,3.9,18800,1,4400.0,59.2,1.0,2,59000,60,Personal Expense,No,589,21.19,5.13,0
APP121916,30,Female,Married,Tier 3,Rajasthan,Salaried - Private,0.5,31100,0,7900.0,64.4,4.0,2,97000,12,Vehicle Purchase,No,463,20.54,26.14,0
APP109807,43,Male,Married,Tier 2,Tamil Nadu,Self-Employed Professional,14.3,28000,3,4300.0,55.5,2.0,2,170000,48,Education,Yes,605,25.92,1.6,0
APP105035,22,Male,Married,Tier 2,Karnataka,Salaried - Private,0.5,56600,0,4900.0,18.0,1.0,2,76000,36,Education,No,674,16.83,0.72,0
APP117518,33,Female,Married,Tier 2,Rajasthan,Salaried - Private,8.5,21400,2,4400.0,35.5,3.0,2,146000,36,Vehicle Purchase,Yes,643,23.47,0.33,0
APP121078,33,Male,Single,Tier 3,Bihar,Salaried - Government,3.7,29200,0,0.0,29.8,3.0,2,104000,60,Personal Expense,Yes,587,24.31,0.33,0
APP120181,38,Male,Single,Tier 1,Madhya Pradesh,Salaried - Private,4.5,42400,5,13500.0,74.9,2.0,4,271000,36,Wedding,No,512,23.7,63.35,0
APP124661,34,Male,Married,Tier 2,Karnataka,Salaried - Private,4.2,50900,1,3000.0,25.7,2.0,2,97000,48,Medical Emergency,No,666,16.61,0.54,0
APP112146,34,Male,Married,Tier 2,Madhya Pradesh,Salaried - PSU,,47400,2,11100.0,31.7,1.0,0,343000,24,Education,No,682,18.25,0.33,0
APP116541,46,Male,Single,Tier 1,Rajasthan,Salaried - Government,0.5,56200,0,5500.0,60.2,2.0,1,221000,48,Education,No,583,20.84,3.34,0
APP109317,30,Female,Married,Tier 1,Tamil Nadu,Business Owner,4.1,51800,1,11400.0,64.1,1.0,2,31000,24,Medical Emergency,No,554,25.54,7.28,0
APP115820,35,Male,Divorced,Tier 1,Telangana,Salaried - PSU,6.7,63800,0,8000.0,47.9,2.0,2,222000,48,Personal Expense,No,615,23.04,1.52,0
APP113952,39,Male,Single,Tier 2,Uttar Pradesh,Business Owner,0.5,25100,1,8700.0,22.5,1.0,1,218000,36,Vehicle Purchase,No,587,22.79,5.9,0
APP112058,31,Female,Single,Tier 2,Maharashtra,Self-Employed Professional,0.5,147200,1,49500.0,5.5,3.0,0,507000,36,Home Renovation,No,677,19.97,1.76,0
APP108091,65,Female,Married,Tier 2,Karnataka,Salaried - PSU,6.1,61600,2,26200.0,60.2,2.0,2,270000,12,Personal Expense,No,514,23.59,23.29,0
APP123589,21,Female,Single,Tier 1,Haryana,Salaried - Private,1.9,55800,2,5900.0,13.9,1.0,0,210000,36,Medical Emergency,No,750,13.22,0.05,0
APP124419,42,Male,Single,Tier 1,Haryana,Business Owner,2.1,45100,1,11100.0,47.1,1.0,4,216000,48,Education,No,530,21.63,30.4,0
APP107228,27,Male,Single,Tier 2,Gujarat,Self-Employed Professional,8.6,70300,1,12200.0,24.0,2.0,2,148000,36,Personal Expense,No,583,25.17,2.32,0
APP122665,42,Female,Married,Tier 2,Karnataka,Salaried - Private,0.6,59500,1,14500.0,58.5,3.0,3,225000,36,Personal Expense,No,504,24.54,27.7,0
APP113338,41,Female,Married,Tier 2,Tamil Nadu,Salaried - Private,2.8,52200,0,3200.0,42.0,0.0,3,231000,12,Medical Emergency,No,628,21.14,0.62,0
APP109515,21,Female,Married,Tier 2,Kerala,Salaried - PSU,2.0,83400,0,8100.0,26.5,2.0,1,89000,36,Personal Expense,No,640,19.33,0.14,0
APP122389,34,Female,Married,Tier 1,Haryana,Salaried - Private,4.8,57600,2,21900.0,48.0,0.0,0,104000,84,Personal Expense,No,590,20.23,6.81,0
APP106549,26,Other,Single,Tier 1,Kerala,Salaried - Private,1.2,125000,0,42400.0,41.0,0.0,0,179000,60,Personal Expense,Yes,594,24.4,0.72,0
APP105689,27,Male,Married,Tier 2,Rajasthan,Salaried - Government,2.5,19000,0,2700.0,25.0,1.0,1,175000,48,Medical Emergency,No,687,17.21,0.11,0
APP106515,22,Male,Single,Tier 1,Kerala,Salaried - Private,4.1,28800,0,1900.0,12.3,0.0,1,28000,48,Debt Consolidation,No,675,16.36,0.06,0
APP115765,36,Female,Married,Tier 2,Madhya Pradesh,Salaried - Private,8.8,24000,2,9300.0,68.6,4.0,3,60000,24,Education,No,521,25.73,33.56,0
APP114938,27,Male,Single,Tier 3,Rajasthan,Salaried - Private,6.5,21500,3,3700.0,56.7,0.0,1,123000,24,Business Expansion,No,605,25.26,1.7,0
APP103609,35,Female,Married,Tier 2,Bihar,Salaried - Private,3.3,39800,1,7200.0,32.5,1.0,0,153000,60,Home Renovation,Yes,661,16.62,0.41,0
APP107886,29,Female,Married,Tier 3,Haryana,Salaried - Private,0.6,39000,1,11200.0,44.6,3.0,1,229000,12,Education,No,536,22.95,9.59,0
APP112402,21,Male,Single,Tier 2,Gujarat,Salaried - Government,1.7,22800,3,9100.0,64.7,3.0,3,73000,60,Vehicle Purchase,No,527,23.35,49.1,1
APP102974,36,Female,Single,Tier 1,Gujarat,Salaried - Private,1.2,105500,1,1000.0,25.2,1.0,3,186000,24,Personal Expense,No,635,21.08,1.89,0
APP101915,21,Female,Single,Tier 3,Haryana,Self-Employed Professional,2.6,28200,1,5200.0,66.9,2.0,0,117000,84,Personal Expense,No,595,21.24,2.71,0
APP107811,27,Male,Single,Tier 2,Haryana,Salaried - Private,9.6,52200,1,8800.0,55.8,0.0,1,158000,36,Vehicle Purchase,No,611,23.18,2.27,0
APP109602,43,Male,Married,Tier 1,Uttar Pradesh,Salaried - Private,3.6,48900,1,10400.0,28.7,0.0,0,658000,60,Home Renovation,No,755,13.2,0.14,0
APP114415,45,Female,Married,Tier 2,Rajasthan,Salaried - Private,2.7,47300,3,15300.0,49.1,2.0,3,113000,24,Wedding,No,502,20.42,29.77,1
APP120139,31,Male,Married,Tier 2,Delhi NCR,Salaried - Government,4.7,34600,1,7100.0,45.5,1.0,2,180000,84,Wedding,No,609,22.93,1.6,0
APP106095,44,Female,Divorced,Tier 2,Uttar Pradesh,Salaried - Private,5.5,26600,0,3000.0,13.4,1.0,1,912000,60,Business Expansion,No,725,15.88,0.72,0
APP107539,33,Male,Divorced,Tier 2,Telangana,Salaried - Private,1.2,57900,1,13800.0,44.0,0.0,2,163000,84,Personal Expense,No,611,24.31,2.72,0
APP111816,26,Female,Married,Tier 2,Maharashtra,Salaried - Private,7.8,28400,0,5900.0,71.0,2.0,1,317000,36,Personal Expense,No,634,22.05,2.73,0
APP110600,45,Female,Divorced,Tier 2,Uttar Pradesh,Salaried - Private,2.2,33100,3,8500.0,33.3,0.0,3,78000,48,Education,Yes,630,19.97,0.85,0
APP114798,29,Female,Married,Tier 3,Uttar Pradesh,Salaried - PSU,11.7,12000,2,2700.0,72.2,1.0,4,41000,60,Personal Expense,No,536,23.53,7.25,0
APP120479,41,Female,Married,Tier 2,Haryana,Salaried - Government,2.9,48400,2,12600.0,71.5,3.0,2,91000,24,Business Expansion,No,506,20.3,16.64,0
APP103710,39,Male,Single,Tier 3,Kerala,Salaried - Private,1.4,116300,0,37100.0,16.1,0.0,0,88000,60,Personal Expense,No,702,15.6,0.46,0
APP120925,21,Male,Single,Tier 2,Kerala,Salaried - PSU,2.2,20300,0,2000.0,52.3,1.0,2,91000,12,Education,No,585,21.53,2.92,0
APP113609,37,Male,Single,Tier 2,West Bengal,Salaried - Government,4.6,31600,1,7300.0,39.8,4.0,0,101000,12,Vehicle Purchase,No,631,22.75,0.57,0
APP115465,24,Male,Single,Tier 3,Punjab,Salaried - Private,0.5,35600,0,7100.0,35.8,1.0,2,122000,60,Personal Expense,Yes,643,23.47,0.78,0
APP109994,29,Female,Single,Tier 1,Karnataka,Self-Employed Professional,3.4,98300,1,29000.0,62.8,2.0,3,114000,72,Medical Emergency,Yes,596,19.46,1.07,0
APP107298,35,Other,Single,Tier 2,Tamil Nadu,Salaried - Government,7.9,30300,0,5500.0,50.2,1.0,1,142000,36,Vehicle Purchase,No,574,23.29,4.35,0
APP119853,30,Male,Married,Tier 2,Delhi NCR,Salaried - Government,1.3,23100,0,3100.0,52.9,0.0,4,134000,60,Home Renovation,No,572,25.56,4.71,0
APP106664,29,Male,Single,Tier 1,Maharashtra,Business Owner,3.7,90900,0,15900.0,51.9,4.0,1,79000,48,Medical Emergency,No,600,24.39,5.73,0
APP123885,40,Female,Single,Tier 2,Uttar Pradesh,Salaried - PSU,0.7,39000,2,10300.0,24.3,0.0,0,213000,36,Personal Expense,Yes,640,24.18,0.91,0
APP101427,43,Male,Married,Tier 1,Madhya Pradesh,Salaried - Private,7.6,28400,0,6900.0,35.0,0.0,1,91000,12,Personal Expense,Yes,680,19.09,0.19,0
APP103077,21,Female,Married,Tier 3,Delhi NCR,Business Owner,1.8,18200,0,200.0,9.8,1.0,0,68000,24,Vehicle Purchase,Yes,749,12.65,0.04,0
APP117505,35,Female,Married,Tier 2,Andhra Pradesh,Business Owner,0.5,37200,1,9400.0,38.8,2.0,5,64000,84,Medical Emergency,No,483,19.39,63.1,1
APP124838,35,Male,Single,Tier 1,Maharashtra,Salaried - PSU,0.5,64400,1,12400.0,33.2,2.0,3,194000,84,Personal Expense,No,563,20.15,3.02,0
APP103541,38,Female,Single,Tier 3,Bihar,Salaried - Private,1.4,30100,1,6500.0,55.0,1.0,4,143000,48,Personal Expense,No,485,24.11,40.05,0
APP108182,39,Female,Married,Tier 2,Gujarat,Salaried - Private,1.2,129900,0,28300.0,41.9,0.0,1,46000,24,Personal Expense,Yes,636,24.39,0.13,0
APP109212,43,Female,Divorced,Tier 1,Andhra Pradesh,Business Owner,6.7,109300,0,0.0,63.8,0.0,3,187000,24,Debt Consolidation,No,633,22.87,2.29,0
APP101346,38,Male,Married,Tier 3,Madhya Pradesh,Salaried - Private,1.1,42000,2,6500.0,49.4,0.0,4,216000,36,Home Renovation,No,599,25.75,4.44,0
APP109526,34,Female,Married,Tier 1,Andhra Pradesh,Salaried - Private,0.5,117900,0,26900.0,61.2,0.0,2,234000,72,Wedding,No,556,22.2,3.85,0
APP104372,25,Female,Married,Tier 2,Punjab,Salaried - Private,3.3,78400,0,13000.0,12.4,1.0,1,303000,60,Wedding,No,712,15.44,0.09,0
APP101889,40,Female,Married,Tier 2,Uttar Pradesh,Salaried - Private,0.5,80500,3,21500.0,75.3,2.0,1,90000,24,Debt Consolidation,No,487,23.07,40.75,1
APP124671,44,Female,Married,Tier 3,Kerala,Salaried - Private,2.8,31300,0,9200.0,71.5,2.0,3,115000,36,Debt Consolidation,No,500,24.1,64.77,1
APP114378,59,Female,Married,Tier 1,Madhya Pradesh,Salaried - Private,0.7,85900,2,26800.0,29.9,2.0,1,207000,72,Home Renovation,No,603,21.44,7.74,1
APP107198,26,Female,Married,Tier 2,Punjab,Salaried - PSU,18.4,38300,1,4500.0,66.7,2.0,2,106000,84,Vehicle Purchase,No,618,19.26,4.58,0
APP104894,27,Male,Married,Tier 1,Gujarat,Salaried - Government,,42800,0,7300.0,56.3,0.0,4,226000,48,Personal Expense,No,527,19.66,23.41,1
APP102905,35,Female,Single,Tier 1,Andhra Pradesh,Self-Employed Professional,5.9,72200,0,11000.0,79.8,2.0,2,90000,84,Home Renovation,No,626,25.71,1.25,0
APP106662,21,Female,Single,Tier 1,West Bengal,Business Owner,1.1,65700,0,19400.0,61.1,2.0,4,127000,36,Vehicle Purchase,No,523,24.51,66.37,1
APP109809,21,Female,Married,Tier 1,West Bengal,Business Owner,1.5,164400,1,55600.0,38.1,2.0,1,185000,12,Debt Consolidation,No,603,20.73,3.5,0
APP105418,33,Male,Widowed,Tier 2,Madhya Pradesh,Salaried - Private,2.3,24500,2,5100.0,57.9,3.0,1,129000,72,Personal Expense,No,578,20.16,3.5,0
APP103547,44,Female,Married,Tier 3,Andhra Pradesh,Salaried - PSU,2.3,30400,0,4400.0,52.3,1.0,4,449000,36,Personal Expense,No,528,19.81,25.56,0
APP112724,36,Female,Married,Tier 1,Telangana,Salaried - Private,5.8,33000,1,11300.0,51.4,3.0,0,115000,72,Business Expansion,No,631,22.62,2.93,0
APP113553,26,Male,Married,Tier 1,Madhya Pradesh,Business Owner,1.4,96000,0,20300.0,0.0,1.0,1,163000,72,Wedding,No,664,18.9,0.42,0
APP124371,48,Male,Married,Tier 1,Tamil Nadu,Self-Employed Professional,5.2,93500,0,12900.0,62.0,1.0,2,342000,72,Personal Expense,No,576,21.72,2.24,0
APP111127,33,Male,Married,Tier 1,Delhi NCR,Salaried - Private,2.5,40400,0,12100.0,40.9,1.0,2,514000,24,Vehicle Purchase,Yes,544,20.4,10.98,1
APP117604,37,Female,Single,Tier 3,Haryana,Salaried - Private,11.3,47100,2,4200.0,8.0,3.0,0,68000,72,Debt Consolidation,No,716,13.78,0.29,0
APP104744,33,Female,Married,Tier 3,Kerala,Salaried - Private,1.3,17800,5,4000.0,60.4,0.0,3,96000,72,Personal Expense,No,526,20.31,14.36,0
APP118972,29,Female,Married,Tier 2,Bihar,Salaried - Private,12.8,29900,1,8000.0,3.5,2.0,0,139000,12,Personal Expense,No,726,13.86,0.47,0
